,Investigator,Number of Studies
268,alessandro lupi,7
269,medical affairs,7
270,claudio verusio,7
271,andrea de matteis,7
272,pietro caironi,7
273,misbah u. qadir,7
274,simone beretta,7
275,alberto zaniboni,7
276,giovanni montini,7
277,livio pagano,7
278,antonio curti,7
279,paul m. barr,7
280,deborah w. wilbur,7
281,william tse,7
282,antonio gasbarrini,7
283,maurizio musso,7
284,douglas j. weckstein,7
285,giuseppe lombardi,7
286,erika borlenghi,7
287,francesca bergamo,7
288,giulio metro,7
289,dante dallari,7
290,francesca bonifazi,7
291,giuseppe visani,7
292,sara bigliardi,7
293,jacopo olivieri,7
294,alessandro levis,7
295,sharad a. ghamande,7
296,emanuele cereda,7
297,matthew l. ryan,7
298,vincenzo maria saraceni,7
299,alessandro bertolini,7
300,ester forastiere,7
301,kurt oettel,7
302,davide rossi,7
303,maria r. tria tirona,7
304,giuseppe tonini,7
305,giuseppe curigliano,7
306,libero ciuffreda,7
307,toni ibrahim,7
308,giancarlo castaman,7
309,daniele santini,7
310,dario marino,7
311,giovanna chidini,7
312,tarek m. sabagh,7
313,andrea gori,7
314,silvia marsoni,6
315,leon c. hwang,6
316,martin j. van den bent,6
317,marina mordenti,6
318,massimo aglietta,6
319,francesco violi,6
320,donald b. wender,6
321,massimo mancone,6
322,terrence p. cescon,6
323,samer s. kasbari,6
324,paolo brambilla,6
325,elisabetta scarpa,6
326,ashkan bahrani,6
327,giovanni marchegiani,6
328,ester orlandi,6
329,nir peled,6
330,giovanni landoni,6
331,gianmarco ghiggeri,6
332,roberto cairoli,6
333,erica secchettin,6
334,massimo gentile,6
335,gennaro daniele,6
336,gian paolo fadini,6
337,nicola silvestris,6
338,dennis f. moore,6
339,thomas langer,6
340,pablo m ingelmo,6
341,alfredo budillon,6
342,enrico cerrato,6
343,incyte medical monitor,6
344,manila boarini,6
345,maria chiara tisi,6
346,marco rabusin,6
347,vittorio scaravilli,6
348,giuseppe badalamenti,6
349,michele cimminiello,6
350,stefano carugo,6
351,franco mandelli,6
352,salvatore pisconti,6
353,silvio danese,6
354,chiara cremolini,6
355,simone biscaglia,6
356,giovanni scambia,6
357,paolo pedrazzoli,6
358,enriqueta felip,6
359,roberto foa,6
360,luca andriolo,6
361,silvia bolis,6
362,piotr rutkowski,6
363,jean-yves blay,6
364,sergio serni,6
365,daniel almquist,6
366,rajiv jalan,6
367,francesca patriarca,6
368,flavio ribichini,6
369,gabriele dell'era,6
370,tyler y. kang,6
371,laurent greillier,6
372,alexander menter,6
373,dino amadori,6
374,josep tabernero,6
375,paolo navalesi,6
376,maria teresa voso,6
377,filippo graziani,6
378,antonio messina,6
379,william v. walsh,6
380,marco contoli,6
381,stefano ferrari,6
382,domenico amoroso,6
383,massimo antonelli,6
384,michael schenker,6
385,jiri pumprla,6
386,antonio russo,6
387,ruth ladenstein,6
388,caterina musolino,6
389,mario tiribelli,6
390,claudio franceschi,6
391,rex b. mowat,6
392,filippo de marinis,6
393,natalia maximova,6
394,joseph sokhn,6
395,stefano ghio,6
396,caroline robert,6
397,giorgina specchia,6
398,samuel n. ofori,6
399,bohuslav melichar,6
400,francesco passamonti,6
401,giovanni vento,6
402,ronald fogel,6
403,giuseppe rossi,6
404,darla liles,6
405,ernesta audisio,6
406,carmine pinto,6
407,marina cazzaniga,6
408,marta coscia,6
409,michele reni,6
410,luca gianni,6
411,tiziano barbui,6
412,mei tang,6
413,andrés ferreri,6
414,ticiana a. leal,6
415,francesco lanza,6
416,jaroslaw kierkus,6
417,enzo bonora,6
418,icro meattini,6
419,valerio de stefano,6
420,samir narayan,6
421,carlo genova,6
422,andrea patriarca,5
423,atul kumar,5
424,timothy e. byun,5
425,stefano bonarelli,5
426,alexandra durr,5
427,giovanni b forleo,5
428,giacomo cavallaro,5
429,philip j. stella,5
430,vanesa gregorc,5
431,pierfranco conte,5
432,claudio vernieri,5
433,christoph schliemann,5
434,hui zhou,5
435,jean yves blay,5
436,michele caruso,5
437,monica crugnola,5
438,sergio siragusa,5
439,elena santagostino,5
440,giuseppe sangiorgi,5
441,daniele generali,5
442,carlo garufi,5
443,holger lode,5
444,riccardo bruna,5
445,angelos koutras,5
446,stefano pepe,5
447,arpad illes,5
448,andrea bonetti,5
449,stefano tamberi,5
450,roberto latini,5
451,alessandro re,5
452,simone cesaro,5
453,alessandro gasbarrini,5
454,severine vermeire,5
455,laurent brochard,5
456,antonio curnis,5
457,alessandro pulsoni,5
458,gianluca villa,5
459,mary p. gerrard,5
460,luis alejandro nevarez,5
461,franco valenza,5
462,emiliano tamburini,5
463,janice a. kohler,5
464,rosa rita silva,5
465,isabella capodanno,5
466,davide pacini,5
467,corrado pedrazzani,5
468,gianantonio rosti,5
469,ixiu del carmen cabrales guerra,5
470,valentina boni,5
471,gianni bisogno,5
472,graziella pinotti,5
473,raid aljumaily,5
474,praveen vashist,5
475,adam m. forman,5
476,connie hsu,5
477,salvatore a. del prete,5
478,matteo bertini,5
479,gian matteo rigolin,5
480,michele tinazzi,5
481,antonella brunello,5
482,paolo feltracco,5
483,filippo gherlinzoni,5
484,gabriele anania,5
485,elio jovine,5
486,herta h. chao,5
487,andrea gallamini,5
488,emily g. robinson,5
489,yan ji,5
490,milena cadenaro,5
491,rosanna martin,5
492,elisabetta todisco,5
493,cagatay arslan,5
494,marina aloi,5
495,vittorina zagonel,5
496,dinesh talwar,5
497,francesca palandri,5
498,sofia straudi,5
499,gabriella farina,5
500,daniele de luca,5
501,ugo pastorino,5
502,laura buggio,5
503,fabio barra,5
504,giovanni esposito,5
505,gary v. burton,5
506,maria cantonetti,5
507,catherine thieblemont,5
508,giulia benevolo,5
509,tareq al baghdadi,5
510,tyler gunter,5
511,francesco bianco,5
512,david gregory true,5
513,roberto luksch,5
514,roxana mehran,5
515,luciano gattinoni,5
516,nicolas isambert,5
517,alberto albanese,5
518,jakob begun,5
519,michele aieta,5
520,carlo ferrarese,5
521,angelo corsico,5
522,muhammad furqan,5
523,gianluca giavaresi,5
524,monia lunghi,5
525,stefania paolini,5
526,antonino musolino,5
527,rodolfo passalacqua,5
528,vamsi k. vasireddy,5
529,guido bertolini,5
530,gilda cinnella,5
531,fei li,5
532,rosanna vaschetto,5
533,renato mantegazza,5
534,alessandra bearz,5
535,antonio febbraro,5
536,enrico baldi,5
537,melania celli,5
538,luigi padeletti,5
539,mario nosotti,5
540,camillo porta,5
541,davide donati,5
542,ying cheng,5
543,rodryg ramlau,5
544,teresa gamucci,5
545,giuseppe valmadre,5
546,giovanni barisione,5
547,matthew d. cheney,5
548,hassan achakri,5
549,antonio di sabatino,5
550,luigi corvaglia,5
551,flavio caprioli,5
552,mauro biffi,5
553,valeria sansone,5
554,gualtiero palareti,5
555,evelina tacconelli,5
556,alessandro vitale,5
557,anastasios stathis,5
558,shachar peles,5
559,chiara rusconi,5
560,sanjay popat,5
561,debra m. prow,5
562,bruno daniele,5
563,donald j. jurgens,5
564,prassede salutari,5
565,pietro palmisano,5
566,alessandro de cassai,5
567,paolo marchetti,5
568,fable zustovich,5
569,michele cavo,5
570,shaker r. dakhil,5
571,mario scartozzi,5
572,federica grosso,5
573,gioacchino calapai,5
574,cristina papayannidis,5
575,paolo pillastrini,5
576,alessandro antonelli,5
577,paola roggero,5
578,alfredo berruti,5
579,alessandra borchiellini,5
580,head of medical science,5
581,pietro quaglino,5
582,marek trneny,5
583,erminia massarelli,5
584,nicola battelli,5
585,emanuele ravano,5
586,julia chisholm,5
587,katarzyna wojcik,5
588,roberto eleopra,5
589,carla minoia,5
590,bernadette brennan,5
591,lucky flores,5
592,leonardo calò,5
593,corrado tarella,5
594,fabrizio stocchi,5
595,gianluca lista,5
596,beata gawdis-wojnarska,5
597,anna candoni,4
598,anna sonia petronio,4
599,jeffrey l. berenberg,4
600,pasquale niscola,4
601,giuseppe s sica,4
602,matteo simonelli,4
603,seth benjamin forman,4
604,antonio musolino,4
605,andrea cortegiani,4
606,isabel blancas,4
607,jin soo moon,4
608,ken takeuchi,4
